"","Player.Name","Team","Matchup","Best.Rank","Worst.Rank","Avg.Rank","Std.Dev","NA","Rank","Tier"
"1","Cincinnati Bengals","CIN","  vs.  JAC",1,6,1.953488372093,1.1402465741517,NA,1,"1"
"2","Kansas City Chiefs","KC","  vs.  NYJ",1,7,2.3255813953488,1.3420035391864,NA,2,"1"
"3","Seattle Seahawks","SEA","  vs.  OAK",1,11,2.6046511627907,1.6014460744825,NA,3,"1"
"4","San Francisco 49ers","SF","  vs.  STL",1,11,4.1162790697674,1.768053749651,NA,4,"1"
"5","Cleveland Browns","CLE","  vs.  TB",3,18,6.5116279069767,2.9521146777944,NA,5,"2"
"6","Baltimore Ravens","BAL","  at  PIT",3,17,9.046511627907,3.7723195527426,NA,6,"2"
"7","Houston Texans","HOU","  vs.  PHI",5,19,9.2325581395349,2.9636339203859,NA,7,"2"
"8","Minnesota Vikings","MIN","  vs.  WAS",5,16,8.8095238095238,3.0018890499951,NA,8,"2"
"9","Dallas Cowboys","DAL","  vs.  ARI",3,22,10.139534883721,4.3539952000745,NA,9,"2"
"10","Philadelphia Eagles","PHI","  at  HOU",5,21,9.8095238095238,3.5606185607486,NA,10,"2"
"11","Miami Dolphins","MIA","  vs.  SD",2,22,11.53488372093,4.1222529243759,NA,11,"3"
"12","Indianapolis Colts","IND","  at  NYG",6,19,11.952380952381,2.9191680236179,NA,12,"3"
"13","Arizona Cardinals","ARI","  at  DAL",6,21,12.80487804878,3.2401408595933,NA,13,"3"
"14","Pittsburgh Steelers","PIT","  vs.  BAL",6,25,14.976744186047,3.0764550128658,NA,14,"4"
"15","Denver Broncos","DEN","  at  NE",4,24,14.390243902439,4.2534235782054,NA,15,"4"
"16","San Diego Chargers","SD","  at  MIA",7,24,15.190476190476,3.8621366849508,NA,16,"4"
"17","Washington Redskins","WAS","  at  MIN",3,25,14.432432432432,5.1650621541512,NA,17,"4"
"18","Tampa Bay Buccaneers","TB","  at  CLE",6,25,17.815789473684,3.892335675184,NA,18,"5"
"19","New England Patriots","NE","  vs.  DEN",9,26,18.789473684211,3.7357300050138,NA,19,"5"
"20","New York Jets","NYJ","  at  KC",11,24,19.029411764706,2.5723106357748,NA,20,"5"
"21","Carolina Panthers","CAR","  vs.  NO",5,26,19.642857142857,4.4014144294297,NA,21,"5"
"22","New York Giants","NYG","  vs.  IND",8,26,19.185185185185,4.4889744521854,NA,22,"5"
"23","New Orleans Saints","NO","  at  CAR",8,25,18.666666666667,4.8729900211299,NA,23,"5"
"24","Jacksonville Jaguars","JAC","  at  CIN",9,26,21.695652173913,4.1224178490899,NA,24,"5"
"25","St. Louis Rams","STL","  at  SF",9,26,21.181818181818,4.2172412744521,NA,25,"5"
"26","Oakland Raiders","OAK","  at  SEA",21,26,25.1,1.3747727084868,NA,26,"6"
