"","Player.Name","Team","Matchup","Best.Rank","Worst.Rank","Avg.Rank","Std.Dev","NA","Rank","Tier"
"1","Arian Foster","HOU","  vs.  PHI",1,7,1.6363636363636,1.0155810940923,NA,1,"1"
"2","DeMarco Murray","DAL","  vs.  ARI",1,8,2.3454545454545,1.6428155633566,NA,2,"1"
"3","Jamaal Charles","KC","  vs.  NYJ",1,16,4.9636363636364,2.0798919234477,NA,3,"1"
"4","Marshawn Lynch","SEA","  vs.  OAK",1,26,5.0545454545455,3.9099787575251,NA,4,"1"
"5","Antonio Brown","PIT","  vs.  BAL",2,23,6.7636363636364,3.9310587811041,NA,5,"2"
"6","Le'Veon Bell","PIT","  vs.  BAL",4,26,7.6545454545455,4.3493706203758,NA,6,"2"
"7","LeSean McCoy","PHI","  at  HOU",2,27,8.1090909090909,4.4789313955765,NA,7,"2"
"8","Demaryius Thomas","DEN","  at  NE",3,24,9.4545454545455,4.483578853867,NA,8,"2"
"9","Andre Ellington","ARI","  at  DAL",1,36,9.5818181818182,5.7197930957204,NA,9,"2"
"10","Dez Bryant","DAL","  vs.  ARI",2,22,10.381818181818,5.6100264432723,NA,10,"2"
"11","Ronnie Hillman","DEN","  at  NE",2,25,11.2,3.4871191548325,NA,11,"2"
"12","Lamar Miller","MIA","  vs.  SD",7,27,13,3.6531431049789,NA,12,"2"
"13","Mark Ingram","NO","  at  CAR",2,33,13.345454545455,5.5668439951301,NA,13,"2"
"14","Giovani Bernard","CIN","  vs.  JAC",4,88,16.090909090909,11.837187514966,NA,14,"3"
"15","Ahmad Bradshaw","IND","  at  NYG",5,43,16.581818181818,6.8535084819672,NA,15,"3"
"16","Jeremy Maclin","PHI","  at  HOU",5,32,17.781818181818,4.6814562966935,NA,16,"3"
"17","Rob Gronkowski","NE","  vs.  DEN",5,40,17.945454545455,5.6902410296231,NA,17,"3"
"18","Ty Hilton","IND","  at  NYG",7,31,18.890909090909,4.2668818816245,NA,18,"3"
"19","Emmanuel Sanders","DEN","  at  NE",3,33,22.236363636364,4.5445817343839,NA,19,"4"
"20","Kelvin Benjamin","CAR","  vs.  NO",11,37,22.327272727273,4.6163919222879,NA,20,"4"
"21","Ben Tate","CLE","  vs.  TB",8,54,22.618181818182,9.7150135153434,NA,21,"4"
"22","Jerick McKinnon","MIN","  vs.  WAS",11,54,23.145454545455,8.7165843640274,NA,22,"4"
"23","Alfred Morris","WAS","  at  MIN",9,46,24.872727272727,7.5439428934852,NA,23,"4"
"24","Branden Oliver","SD","  at  MIA",12,65,25.836363636364,10.149363860699,NA,24,"4"
"25","Julius Thomas","DEN","  at  NE",9,74,26.327272727273,8.7491392728959,NA,25,"5"
"26","Mike Wallace","MIA","  vs.  SD",17,45,27.272727272727,5.3136344194724,NA,26,"5"
"27","Justin Forsett","BAL","  at  PIT",14,89,28.763636363636,10.625806726787,NA,27,"5"
