"","Player.Name","Team","Matchup","Best.Rank","Worst.Rank","Avg.Rank","Std.Dev","NA","Rank","Tier"
"1","Arian Foster","HOU","  vs.  PHI",1,9,1.6595744680851,1.3412695755297,NA,1,"1"
"2","DeMarco Murray","DAL","  vs.  ARI",1,9,2.8510638297872,2.0314414063455,NA,2,"1"
"3","Antonio Brown","PIT","  vs.  BAL",2,17,5.0851063829787,3.0654546518788,NA,3,"2"
"4","Jamaal Charles","KC","  vs.  NYJ",2,20,5.9574468085106,3.248288890363,NA,4,"2"
"5","Marshawn Lynch","SEA","  vs.  OAK",1,29,6.2978723404255,4.9804506914622,NA,5,"2"
"6","Demaryius Thomas","DEN","  at  NE",2,21,7.5531914893617,3.8360468938534,NA,6,"2"
"7","Dez Bryant","DAL","  vs.  ARI",2,18,7.9148936170213,3.9021531821249,NA,7,"2"
"8","Le'Veon Bell","PIT","  vs.  BAL",2,43,8.5957446808511,6.9944037644333,NA,8,"2"
"9","Andre Ellington","ARI","  at  DAL",1,19,9.4468085106383,4.2013600160672,NA,9,"2"
"10","LeSean McCoy","PHI","  at  HOU",2,24,9.7021276595745,4.523766523393,NA,10,"2"
"11","Ty Hilton","IND","  at  NYG",5,29,13.063829787234,4.6329268140825,NA,11,"3"
"12","Jeremy Maclin","PHI","  at  HOU",6,27,13.170212765957,3.4844282716484,NA,12,"3"
"13","Ronnie Hillman","DEN","  at  NE",3,21,13.191489361702,3.7848426588188,NA,13,"3"
"14","Rob Gronkowski","NE","  vs.  DEN",4,39,15.404255319149,6.4467031800959,NA,14,"3"
"15","Emmanuel Sanders","DEN","  at  NE",3,28,16.957446808511,4.7889831320083,NA,15,"3"
"16","Ahmad Bradshaw","IND","  at  NYG",4,41,17.085106382979,5.6562140079364,NA,16,"3"
"17","Lamar Miller","MIA","  vs.  SD",9,38,17.234042553191,5.5628431654412,NA,17,"3"
"18","Kelvin Benjamin","CAR","  vs.  NO",9,37,18.127659574468,5.0765083547257,NA,18,"3"
"19","Giovani Bernard","CIN","  vs.  JAC",4,101,22.255319148936,14.787096279781,NA,19,"4"
"20","Mark Ingram","NO","  at  CAR",5,49,22.255319148936,8.2654576918396,NA,20,"4"
"21","Mike Wallace","MIA","  vs.  SD",14,41,23.723404255319,5.3859633471648,NA,21,"4"
"22","Julius Thomas","DEN","  at  NE",9,44,24.382978723404,6.8184767484945,NA,22,"4"
"23","Andre Johnson","HOU","  vs.  PHI",10,55,26.808510638298,9.2244778388168,NA,23,"5"
"24","Branden Oliver","SD","  at  MIA",12,66,27.276595744681,12.1018762879,NA,24,"5"
"25","Jimmy Graham","NO","  at  CAR",11,81,27.297872340426,10.78792645392,NA,25,"5"
"26","Jerick McKinnon","MIN","  vs.  WAS",18,57,28.340425531915,8.8396509889337,NA,26,"5"
"27","Shane Vereen","NE","  vs.  DEN",10,46,28.787234042553,8.7905562727009,NA,27,"5"
"28","Steve Smith","BAL","  at  PIT",10,80,29.148936170213,11.315548939598,NA,28,"5"
"29","Justin Forsett","BAL","  at  PIT",18,99,33.914893617021,11.790421260469,NA,29,"6"
"30","Ben Tate","CLE","  vs.  TB",5,63,34.36170212766,10.066640784156,NA,30,"6"
"31","DeSean Jackson","WAS","  at  MIN",18,83,34.489361702128,12.154803516666,NA,31,"6"
"32","DeAndre Hopkins","HOU","  vs.  PHI",22,55,34.531914893617,6.5585775047928,NA,32,"6"
"33","Keenan Allen","SD","  at  MIA",22,102,35.595744680851,12.985523157713,NA,33,"6"
"34","A.J. Green","CIN","  vs.  JAC",7,71,31.133333333333,12.592060990958,NA,34,"6"
"35","Rueben Randle","NYG","  vs.  IND",12,67,36.617021276596,9.8013311981009,NA,35,"6"
"36","Mohamed Sanu","CIN","  vs.  JAC",19,82,39.340425531915,12.932355260542,NA,36,"7"
"37","Brandin Cooks","NO","  at  CAR",31,64,39.510638297872,6.5489071377566,NA,37,"7"
"38","Alfred Morris","WAS","  at  MIN",16,58,39.936170212766,8.7455867419167,NA,38,"7"
"39","Vincent Jackson","TB","  at  CLE",18,117,43.106382978723,15.672491203832,NA,39,"8"
"40","Larry Fitzgerald","ARI","  at  DAL",17,66,44,8.3869199073268,NA,40,"8"
"41","Pierre Garcon","WAS","  at  MIN",27,90,44.297872340426,12.762836497937,NA,41,"8"
"42","Greg Olsen","CAR","  vs.  NO",18,65,45.340425531915,11.943620385127,NA,42,"8"
"43","Terrance Williams","DAL","  vs.  ARI",17,82,45.893617021277,11.476588644591,NA,43,"8"
"44","Antonio Gates","SD","  at  MIA",21,83,45.957446808511,12.102325162227,NA,44,"8"
