"","Player.Name","Team","Matchup","Best.Rank","Worst.Rank","Avg.Rank","Std.Dev","NA","Rank","Tier"
"1","Arian Foster","HOU","  vs.  PHI",1,6,1.5531914893617,0.89462961879271,NA,1,"1"
"2","DeMarco Murray","DAL","  vs.  ARI",1,8,2.4255319148936,1.697867007937,NA,2,"1"
"3","Jamaal Charles","KC","  vs.  NYJ",2,12,4.5744680851064,1.7594085182492,NA,3,"2"
"4","Marshawn Lynch","SEA","  vs.  OAK",1,16,4.6170212765957,2.8773006815961,NA,4,"2"
"5","Le'Veon Bell","PIT","  vs.  BAL",2,18,5.5957446808511,2.9148159641777,NA,5,"2"
"6","Andre Ellington","ARI","  at  DAL",1,11,6.2340425531915,2.3448700545355,NA,6,"2"
"7","LeSean McCoy","PHI","  at  HOU",2,14,6.5531914893617,2.3593048979794,NA,7,"2"
"8","Ronnie Hillman","DEN","  at  NE",2,11,7.8936170212766,1.915602705591,NA,8,"2"
"9","Lamar Miller","MIA","  vs.  SD",5,16,9.8936170212766,2.3359725529682,NA,9,"3"
"10","Ahmad Bradshaw","IND","  at  NYG",3,17,9.9574468085106,2.5926036105069,NA,10,"3"
"11","Giovani Bernard","CIN","  vs.  JAC",3,31,11.702127659574,4.4190828624733,NA,11,"3"
"12","Mark Ingram","NO","  at  CAR",3,19,11.787234042553,3.3385955144422,NA,12,"3"
"13","Branden Oliver","SD","  at  MIA",8,24,13.68085106383,3.8154578263462,NA,13,"4"
"14","Jerick McKinnon","MIN","  vs.  WAS",10,23,14.531914893617,2.9380197689889,NA,14,"4"
"15","Shane Vereen","NE","  vs.  DEN",7,20,15.148936170213,3.0033932823877,NA,15,"4"
"16","Ben Tate","CLE","  vs.  TB",3,24,16.170212765957,3.1576934009345,NA,16,"4"
"17","Justin Forsett","BAL","  at  PIT",12,32,16.574468085106,3.1130793460718,NA,17,"4"
"18","Alfred Morris","WAS","  at  MIN",10,24,18,2.6417273523692,NA,18,"5"
"19","Denard Robinson","JAC","  at  CIN",10,28,19.425531914894,3.2073365423338,NA,19,"5"
"20","Frank Gore","SF","  vs.  STL",13,28,19.787234042553,3.0172283336805,NA,20,"5"
"21","Christopher Ivory","NYJ","  at  KC",13,36,20,3.655366209788,NA,21,"5"
"22","Andre Williams","NYG","  vs.  IND",14,32,23.531914893617,3.5421538334735,NA,22,"6"
"23","Darren McFadden","OAK","  at  SEA",15,39,23.659574468085,3.2569179775579,NA,23,"6"
"24","Bobby Rainey","TB","  at  CLE",11,41,25.404255319149,6.4960203020464,NA,24,"6"
"25","Jeremy Hill","CIN","  vs.  JAC",12,37,25.68085106383,4.1313867795813,NA,25,"6"
"26","Trent Richardson","IND","  at  NYG",15,41,25.936170212766,3.5990794054553,NA,26,"6"
"27","Jonathan Stewart","CAR","  vs.  NO",20,37,27.608695652174,3.9202831578608,NA,27,"6"
"28","Travaris Cadet","NO","  at  CAR",18,40,27.826086956522,4.7608199322408,NA,28,"6"
"29","Lorenzo Taliaferro","BAL","  at  PIT",19,39,29.489361702128,3.0167781914495,NA,29,"7"
"30","Darren Sproles","PHI","  at  HOU",24,46,30.489361702128,4.1966163696814,NA,30,"7"
"31","Tre Mason","STL","  at  SF",18,39,31.042553191489,3.8034555777973,NA,31,"7"
"32","Jonas Gray","NE","  vs.  DEN",19,46,32.063829787234,5.2121145923914,NA,32,"7"
"33","DeAngelo Williams","CAR","  vs.  NO",20,46,34.021276595745,5.1010610565076,NA,33,"8"
"34","Doug Martin","TB","  at  CLE",23,54,35.75,6.9453221667537,NA,34,"8"
"35","Benny Cunningham","STL","  at  SF",27,50,36.782608695652,5.2952523587203,NA,35,"8"
"36","Roy Helu","WAS","  at  MIN",27,42,36.086956521739,3.5004725578905,NA,36,"8"
"37","Knile Davis","KC","  vs.  NYJ",31,48,36.574468085106,3.406780977985,NA,37,"8"
"38","Carlos Hyde","SF","  vs.  STL",27,47,37.702127659574,4.3949433884816,NA,38,"8"
"39","Charles Sims","TB","  at  CLE",28,69,41,7.7987507217831,NA,39,"9"
"40","Juwan Thompson","DEN","  at  NE",20,54,41.085106382979,6.087412150562,NA,40,"9"
