"","Player.Name","Team","Matchup","Best.Rank","Worst.Rank","Avg.Rank","Std.Dev","NA","Rank","Tier"
"1","Rob Gronkowski","NE","  vs.  DEN",1,4,1.2340425531915,0.59116782933829,NA,1,"1"
"2","Julius Thomas","DEN","  at  NE",1,5,2.4255319148936,0.89311029199214,NA,2,"1"
"3","Jimmy Graham","NO","  at  CAR",1,10,2.9148936170213,1.4116504183318,NA,3,"1"
"4","Greg Olsen","CAR","  vs.  NO",2,9,4.8297872340426,1.4486846408978,NA,4,"1"
"5","Antonio Gates","SD","  at  MIA",2,11,5.0425531914894,1.5292530064737,NA,5,"1"
"6","Jordan Reed","WAS","  at  MIN",2,14,6.6382978723404,2.1775013194895,NA,6,"2"
"7","Travis Kelce","KC","  vs.  NYJ",1,12,7.6595744680851,2.0861916411498,NA,7,"2"
"8","Dwayne Allen","IND","  at  NYG",4,16,8.0425531914894,1.7619796266182,NA,8,"2"
"9","Larry Donnell","NYG","  vs.  IND",5,14,8.8723404255319,2.1695868934813,NA,9,"2"
"10","Jason Witten","DAL","  vs.  ARI",6,14,9.9574468085106,2.0101597989671,NA,10,"2"
"11","Vernon Davis","SF","  vs.  STL",5,21,11.787234042553,3.0312989295916,NA,11,"3"
"12","Heath Miller","PIT","  vs.  BAL",7,23,12.170212765957,2.6200466857638,NA,12,"3"
"13","Zach Ertz","PHI","  at  HOU",7,17,12.446808510638,2.0711648550873,NA,13,"3"
"14","Jared Cook","STL","  at  SF",11,19,14.765957446809,2.1851799279094,NA,14,"4"
"15","Clay Harbor","JAC","  at  CIN",8,23,15.978723404255,3.205642377302,NA,15,"4"
"16","Charles Clay","MIA","  vs.  SD",11,22,16.021739130435,2.6661251025377,NA,16,"4"
"17","Timothy Wright","NE","  vs.  DEN",13,27,17.804347826087,3.1527735561579,NA,17,"4"
"18","Jordan Cameron","CLE","  vs.  TB",11,25,17.730769230769,3.3690639228095,NA,18,"4"
"19","Crockett Gillmore","BAL","  at  PIT",4,31,24.297297297297,4.9312290275777,NA,19,"6"
"20","Jace Amaro","NYJ","  at  KC",10,25,18.804347826087,2.7945565504744,NA,20,"6"
"21","Owen Daniels","BAL","  at  PIT",9,27,23.625,4.1363480269436,NA,21,"6"
"22","Coby Fleener","IND","  at  NYG",13,30,20.577777777778,3.2693110989516,NA,22,"5"
"23","Jermaine Gresham","CIN","  vs.  JAC",14,29,18.431818181818,2.823583532843,NA,23,"5"
"24","Austin Seferian-Jenkins","TB","  at  CLE",14,31,21.086956521739,2.5006615381823,NA,24,"5"
"25","Jim Dray","CLE","  vs.  TB",15,36,27.777777777778,5.9587056345742,NA,25,"7"
"26","John Carlson","ARI","  at  DAL",17,35,25.821428571429,3.0828276842231,NA,26,"7"
"27","Anthony Fasano","KC","  vs.  NYJ",18,34,28.2,4.8124837662064,NA,27,"7"
"28","Lance Kendricks","STL","  at  SF",18,33,27,3.0267623498684,NA,28,"7"
"29","Mychal Rivera","OAK","  at  SEA",19,38,25.171428571429,4.1230066302966,NA,29,"7"
"30","Ladarius Green","SD","  at  MIA",19,34,27.583333333333,4.1256312648289,NA,30,"7"
