"","Player.Name","Team","Matchup","Best.Rank","Worst.Rank","Avg.Rank","Std.Dev","NA","Rank","Tier"
"1","Antonio Brown","PIT","  vs.  BAL",1,7,2,1.3837968120433,NA,1,"1"
"2","Dez Bryant","DAL","  vs.  ARI",1,7,2.531914893617,1.6091634383991,NA,2,"1"
"3","Demaryius Thomas","DEN","  at  NE",1,8,2.6595744680851,1.3091591542907,NA,3,"1"
"4","Ty Hilton","IND","  at  NYG",2,11,4.8297872340426,1.7783466973589,NA,4,"1"
"5","Jeremy Maclin","PHI","  at  HOU",1,18,5.0212765957447,2.3291799461113,NA,5,"1"
"6","Emmanuel Sanders","DEN","  at  NE",1,14,6.7234042553191,2.1996336992885,NA,6,"1"
"7","Kelvin Benjamin","CAR","  vs.  NO",2,19,6.9574468085106,2.5678656325332,NA,7,"1"
"8","Mike Wallace","MIA","  vs.  SD",6,20,9.2340425531915,2.4858130735208,NA,8,"1"
"9","Andre Johnson","HOU","  vs.  PHI",3,28,11.446808510638,4.9111618880863,NA,9,"2"
"10","Steve Smith","BAL","  at  PIT",1,27,11.787234042553,4.7442514832915,NA,10,"2"
"11","A.J. Green","CIN","  vs.  JAC",2,33,12.772727272727,6.3455912983441,NA,11,"2"
"12","Keenan Allen","SD","  at  MIA",9,55,15.744680851064,7.7801386114283,NA,12,"3"
"13","DeAndre Hopkins","HOU","  vs.  PHI",8,30,15.808510638298,4.6340015237619,NA,13,"3"
"14","DeSean Jackson","WAS","  at  MIN",8,42,15.893617021277,7.2382966215116,NA,14,"3"
"15","Mohamed Sanu","CIN","  vs.  JAC",8,43,17.63829787234,7.7333913507343,NA,15,"3"
"16","Rueben Randle","NYG","  vs.  IND",4,32,17.239130434783,5.5096152418678,NA,16,"3"
"17","Vincent Jackson","TB","  at  CLE",6,62,18.489361702128,8.0129478742301,NA,17,"3"
"18","Brandin Cooks","NO","  at  CAR",13,37,19.297872340426,4.9889874196138,NA,18,"3"
"19","Pierre Garcon","WAS","  at  MIN",8,46,20.191489361702,8.2323655447661,NA,19,"3"
"20","Larry Fitzgerald","ARI","  at  DAL",3,33,21.404255319149,5.5568993898063,NA,20,"3"
"21","Terrance Williams","DAL","  vs.  ARI",7,46,21.553191489362,7.7261878812321,NA,21,"3"
"22","Michael Floyd","ARI","  at  DAL",12,39,21.893617021277,5.608633324458,NA,22,"4"
"23","Doug Baldwin","SEA","  vs.  OAK",8,39,24.31914893617,5.8677132556183,NA,23,"5"
"24","Brandon LaFell","NE","  vs.  DEN",11,55,24.659574468085,7.9098016107264,NA,24,"5"
"25","Marques Colston","NO","  at  CAR",15,41,24.702127659574,5.5502152291678,NA,25,"5"
"26","Julian Edelman","NE","  vs.  DEN",6,50,25.936170212766,9.3317218208239,NA,26,"5"
"27","Odell Beckham Jr.","NYG","  vs.  IND",13,42,26.260869565217,5.2727139394561,NA,27,"5"
"28","Allen Robinson","JAC","  at  CIN",9,42,27.63829787234,6.7773889779236,NA,28,"5"
"29","Eric Decker","NYJ","  at  KC",16,50,28.553191489362,5.5994244029349,NA,29,"5"
"30","Andrew Hawkins","CLE","  vs.  TB",14,46,30.297872340426,6.7883344669195,NA,30,"5"
"31","Anquan Boldin","SF","  vs.  STL",15,44,29.913043478261,5.8859674206005,NA,31,"5"
"32","Michael Crabtree","SF","  vs.  STL",17,48,30.260869565217,6.3705667709386,NA,32,"5"
"33","Mike Evans","TB","  at  CLE",21,59,33.957446808511,5.5465436690522,NA,33,"6"
"34","Dwayne Bowe","KC","  vs.  NYJ",10,51,34.617021276596,8.2450583304115,NA,34,"6"
"35","Wes Welker","DEN","  at  NE",19,56,34.851063829787,7.6713856924766,NA,35,"6"
"36","Andre Holmes","OAK","  at  SEA",24,46,36.340425531915,4.5535891653736,NA,36,"6"
"37","Cordarrelle Patterson","MIN","  vs.  WAS",15,59,36.617021276596,6.2587919148658,NA,37,"6"
"38","Denard Robinson","JAC","  at  CIN",13,49,33.583333333333,8.1219011184437,NA,38,"6"
"39","Cecil Shorts","JAC","  at  CIN",13,50,37.957446808511,6.4377789443668,NA,39,"6"
"40","Torrey Smith","BAL","  at  PIT",16,53,39.659574468085,6.7074953176237,NA,40,"7"
"41","Donte Moncrief","IND","  at  NYG",21,67,41.434782608696,9.4492975904424,NA,41,"7"
"42","Percy Harvin","NYJ","  at  KC",18,71,41.148936170213,8.4902415157595,NA,42,"7"
"43","Greg Jennings","MIN","  vs.  WAS",19,52,42.36170212766,5.1588615432002,NA,43,"7"
"44","Martavis Bryant","PIT","  vs.  BAL",25,62,43.369565217391,7.3347259089069,NA,44,"7"
"45","Malcom Floyd","SD","  at  MIA",15,54,42.957446808511,6.7381336099133,NA,45,"7"
"46","James Jones","OAK","  at  SEA",21,57,43.234042553191,6.0852551685426,NA,46,"7"
"47","John Brown","ARI","  at  DAL",27,57,45.326086956522,5.0992512145373,NA,47,"7"
"48","Reggie Wayne","IND","  at  NYG",20,70,46.365853658537,7.7640701469575,NA,48,"7"
"49","Kenny Britt","STL","  at  SF",24,57,48.159090909091,6.6261986285096,NA,49,"7"
"50","Eddie Royal","SD","  at  MIA",19,66,49.54347826087,8.0073513010373,NA,50,"8"
"51","Kenny Stills","NO","  at  CAR",30,66,50,6.4336074132501,NA,51,"8"
"52","Miles Austin","CLE","  vs.  TB",16,66,53.413043478261,8.3706944466901,NA,52,"8"
