"","Player.Name","Team","Matchup","Best.Rank","Worst.Rank","Avg.Rank","Std.Dev","NA","Rank","Tier"
"1","Stephen Gostkowski","NE","  vs.  DEN",1,13,2.390243902439,2.5839849050047,NA,1,"1"
"2","Steven Hauschka","SEA","  vs.  OAK",1,9,2.9268292682927,1.8265019733511,NA,2,"1"
"3","Dan Bailey","DAL","  vs.  ARI",1,14,3.4878048780488,2.6970801847374,NA,3,"1"
"4","Justin Tucker","BAL","  at  PIT",2,14,5.4634146341463,2.6141972696535,NA,4,"1"
"5","Adam Vinatieri","IND","  at  NYG",2,15,6.390243902439,2.9539394843322,NA,5,"2"
"6","Cody Parkey","PHI","  at  HOU",2,20,7.8536585365854,4.1938455233409,NA,6,"2"
"7","Phil Dawson","SF","  vs.  STL",2,20,8,3.7616485747608,NA,7,"2"
"8","Mike Nugent","CIN","  vs.  JAC",3,19,8.6341463414634,3.4055628635526,NA,8,"2"
"9","Chandler Catanzaro","ARI","  at  DAL",2,22,9.7073170731707,4.575885373154,NA,9,"2"
"10","Nick Novak","SD","  at  MIA",4,20,10.09756097561,3.6679553555332,NA,10,"2"
"11","Brandon McManus","DEN","  at  NE",3,18,10.853658536585,3.5445662682117,NA,11,"3"
"12","Shayne Graham","NO","  at  CAR",1,26,12.560975609756,4.2140808128186,NA,12,"3"
"13","Blair Walsh","MIN","  vs.  WAS",3,21,12.756097560976,3.7855984338909,NA,13,"3"
"14","Cairo Santos","KC","  vs.  NYJ",2,24,13.9,4.8518037882833,NA,14,"3"
"15","Shaun Suisham","PIT","  vs.  BAL",3,20,13.341463414634,3.5586360507004,NA,15,"3"
"16","Graham Gano","CAR","  vs.  NO",6,23,16.184210526316,3.9058341191358,NA,16,"4"
"17","Caleb Sturgis","MIA","  vs.  SD",8,25,16.538461538462,3.6433723026477,NA,17,"4"
"18","Billy Cundiff","CLE","  vs.  TB",8,22,16.787878787879,3.4179346568712,NA,18,"4"
"19","Nick Folk","NYJ","  at  KC",4,26,17.657142857143,4.4717708677746,NA,19,"4"
"20","Randy Bullock","HOU","  vs.  PHI",4,25,18.176470588235,3.8765553860224,NA,20,"4"
"21","Josh Brown","NYG","  vs.  IND",12,26,17.695652173913,3.289440055544,NA,21,"4"
"22","Sebastian Janikowski","OAK","  at  SEA",12,26,22.04,3.5268115912251,NA,22,"5"
"23","Patrick Murray","TB","  at  CLE",13,26,22.411764705882,2.6801848823281,NA,23,"5"
"24","Greg Zuerlein","STL","  at  SF",14,25,21.04347826087,3.4323051053897,NA,24,"5"
"25","Kai Forbath","WAS","  at  MIN",17,24,20.344827586207,2.3085427866643,NA,25,"5"
"26","Josh Scobee","JAC","  at  CIN",18,26,24.333333333333,1.8856180831641,NA,26,"5"
