"","Player.Name","Team","Matchup","Best.Rank","Worst.Rank","Avg.Rank","Std.Dev","NA","Rank","Tier"
"1","Antonio Brown","PIT","  vs.  BAL",1,16,3.0192307692308,3.0914919513411,NA,1,"1"
"2","Arian Foster","HOU","  vs.  PHI",1,12,3.3076923076923,2.5079754441386,NA,2,"1"
"3","Demaryius Thomas","DEN","  at  NE",1,18,5.1923076923077,3.9028513321301,NA,3,"1"
"4","Dez Bryant","DAL","  vs.  ARI",1,16,5.3653846153846,4.0621557660257,NA,4,"1"
"5","DeMarco Murray","DAL","  vs.  ARI",1,14,5.6346153846154,2.8218164236878,NA,5,"1"
"6","Jamaal Charles","KC","  vs.  NYJ",1,27,8.5961538461538,4.0632481104531,NA,6,"2"
"7","Ty Hilton","IND","  at  NYG",2,31,10.769230769231,5.3623164649079,NA,7,"2"
"8","Le'Veon Bell","PIT","  vs.  BAL",1,58,11.134615384615,9.7092914384463,NA,8,"2"
"9","Jeremy Maclin","PHI","  at  HOU",3,25,11.230769230769,4.3704223727206,NA,9,"2"
"10","Andre Ellington","ARI","  at  DAL",1,39,11.557692307692,7.0394860540614,NA,10,"2"
"11","Marshawn Lynch","SEA","  vs.  OAK",3,33,11.730769230769,7.0686615657677,NA,11,"2"
"12","Rob Gronkowski","NE","  vs.  DEN",2,51,12.173076923077,9.4191318272279,NA,12,"2"
"13","LeSean McCoy","PHI","  at  HOU",4,35,13.903846153846,6.5581998450109,NA,13,"2"
"14","Emmanuel Sanders","DEN","  at  NE",2,29,14.961538461538,5.2658607977071,NA,14,"3"
"15","Kelvin Benjamin","CAR","  vs.  NO",1,43,17,7.084652969081,NA,15,"3"
"16","Ronnie Hillman","DEN","  at  NE",5,45,17,6.6621779760537,NA,16,"3"
"17","Ahmad Bradshaw","IND","  at  NYG",7,59,20.596153846154,9.7670159512369,NA,17,"4"
"18","Lamar Miller","MIA","  vs.  SD",8,48,22.192307692308,7.1442242985787,NA,18,"4"
"19","Mike Wallace","MIA","  vs.  SD",12,44,22.538461538462,6.7209818950162,NA,19,"4"
"20","Andre Johnson","HOU","  vs.  PHI",2,57,23.153846153846,11.191316371642,NA,20,"4"
"21","Jimmy Graham","NO","  at  CAR",5,93,24.730769230769,12.597489653186,NA,21,"4"
"22","Julius Thomas","DEN","  at  NE",5,68,25.576923076923,11.891086114989,NA,22,"4"
"23","Steve Smith","BAL","  at  PIT",2,83,28.019230769231,12.304611994344,NA,23,"5"
"24","Giovani Bernard","CIN","  vs.  JAC",6,111,28.25,16.485278980864,NA,24,"5"
"25","Shane Vereen","NE","  vs.  DEN",7,59,29.134615384615,11.618997782402,NA,25,"5"
"26","Mark Ingram","NO","  at  CAR",5,63,30.846153846154,11.589757771718,NA,26,"5"
"27","Keenan Allen","SD","  at  MIA",16,103,31.153846153846,13.406922172153,NA,27,"5"
"28","Branden Oliver","SD","  at  MIA",10,83,31.596153846154,17.468939045086,NA,28,"5"
"29","DeAndre Hopkins","HOU","  vs.  PHI",18,53,32.423076923077,7.555808142508,NA,29,"5"
"30","Rueben Randle","NYG","  vs.  IND",10,64,32.807692307692,10.175457769968,NA,30,"5"
"31","DeSean Jackson","WAS","  at  MIN",13,81,34.673076923077,11.981911292647,NA,31,"6"
"32","Jerick McKinnon","MIN","  vs.  WAS",17,69,35.019230769231,11.661063390973,NA,32,"6"
"33","Brandin Cooks","NO","  at  CAR",17,57,35.692307692308,6.9767152882297,NA,33,"6"
"34","A.J. Green","CIN","  vs.  JAC",3,66,29.612244897959,13.216897543475,NA,34,"5"
"35","Mohamed Sanu","CIN","  vs.  JAC",12,84,37.557692307692,14.782283394891,NA,35,"7"
"36","Justin Forsett","BAL","  at  PIT",17,108,38.596153846154,14.172372386205,NA,36,"7"
"37","Pierre Garcon","WAS","  at  MIN",20,89,41,15.227758055098,NA,37,"7"
"38","Larry Fitzgerald","ARI","  at  DAL",14,66,42.346153846154,9.2671558481981,NA,38,"8"
"39","Greg Olsen","CAR","  vs.  NO",5,68,43.384615384615,12.366446299679,NA,39,"8"
"40","Julian Edelman","NE","  vs.  DEN",12,86,43.538461538462,18.427051121049,NA,40,"8"
"41","Brandon LaFell","NE","  vs.  DEN",14,98,43.576923076923,13.985357939159,NA,41,"8"
"42","Doug Baldwin","SEA","  vs.  OAK",17,75,44.75,11.962883303079,NA,42,"8"
"43","Vincent Jackson","TB","  at  CLE",17,128,45.192307692308,17.856305136732,NA,43,"8"
"44","Allen Robinson","JAC","  at  CIN",16,80,45.403846153846,13.082959579581,NA,44,"8"
"45","Ben Tate","CLE","  vs.  TB",5,88,45.538461538462,14.728911310832,NA,45,"8"
"46","Michael Floyd","ARI","  at  DAL",19,87,46.115384615385,12.481761842714,NA,46,"8"
"47","Antonio Gates","SD","  at  MIA",13,107,47.423076923077,14.972212921386,NA,47,"8"
"48","Marques Colston","NO","  at  CAR",31,79,45.56862745098,12.433753715168,NA,48,"8"
"49","Odell Beckham Jr.","NYG","  vs.  IND",10,75,48.576923076923,11.383770758689,NA,49,"9"
"50","Eric Decker","NYJ","  at  KC",31,75,49.75,9.1879415121544,NA,50,"9"
"51","Terrance Williams","DAL","  vs.  ARI",17,98,50.5,15.067157355295,NA,51,"9"
"52","Andrew Hawkins","CLE","  vs.  TB",20,85,51,15.083103128998,NA,52,"9"
"53","Jordan Reed","WAS","  at  MIN",21,100,52.826923076923,16.944162999786,NA,53,"10"
"54","Anquan Boldin","SF","  vs.  STL",12,77,53.807692307692,13.031084820445,NA,54,"10"
