"","Player.Name","Team","Matchup","Best.Rank","Worst.Rank","Avg.Rank","Std.Dev","NA","Rank","Tier"
"1","Rob Gronkowski","NE","  vs.  DEN",1,5,1.2452830188679,0.72439071020575,NA,1,"1"
"2","Julius Thomas","DEN","  at  NE",1,9,2.8867924528302,1.5004449322318,NA,2,"1"
"3","Jimmy Graham","NO","  at  CAR",1,14,3.0754716981132,1.8207302765003,NA,3,"1"
"4","Greg Olsen","CAR","  vs.  NO",1,10,4.811320754717,1.7915588634671,NA,4,"2"
"5","Antonio Gates","SD","  at  MIA",2,18,5.5471698113208,2.4538459435263,NA,5,"2"
"6","Jordan Reed","WAS","  at  MIN",2,17,6.2641509433962,2.842739466664,NA,6,"2"
"7","Travis Kelce","KC","  vs.  NYJ",1,18,7.8679245283019,2.5106395174849,NA,7,"3"
"8","Dwayne Allen","IND","  at  NYG",2,19,8.6415094339623,2.3719615290291,NA,8,"3"
"9","Larry Donnell","NYG","  vs.  IND",5,14,8.7169811320755,2.3662513821269,NA,9,"3"
"10","Jason Witten","DAL","  vs.  ARI",5,17,10.075471698113,2.4560211464563,NA,10,"3"
"11","Heath Miller","PIT","  vs.  BAL",6,23,11.660377358491,3.2502156458292,NA,11,"4"
"12","Vernon Davis","SF","  vs.  STL",5,22,13.169811320755,3.391086256959,NA,12,"4"
"13","Zach Ertz","PHI","  at  HOU",7,22,13.132075471698,2.8486192342034,NA,13,"4"
"14","Jared Cook","STL","  at  SF",10,20,14.77358490566,2.7240474148338,NA,14,"4"
"15","Clay Harbor","JAC","  at  CIN",7,23,15.173076923077,3.8064780503674,NA,15,"4"
"16","Charles Clay","MIA","  vs.  SD",11,22,15.788461538462,2.9176949441267,NA,16,"5"
"17","Jace Amaro","NYJ","  at  KC",10,25,17.826923076923,3.2268176383251,NA,17,"5"
"18","Jermaine Gresham","CIN","  vs.  JAC",11,30,17.36,3.4453446852238,NA,18,"5"
"19","Timothy Wright","NE","  vs.  DEN",11,26,18.192307692308,3.2701356213846,NA,19,"5"
"20","Owen Daniels","BAL","  at  PIT",4,30,24.578947368421,6.9609118388907,NA,20,"7"
"21","Jordan Cameron","CLE","  vs.  TB",10,29,19.925925925926,4.5209465243458,NA,21,"7"
"22","Crockett Gillmore","BAL","  at  PIT",2,38,23.595238095238,5.2511201698827,NA,22,"7"
"23","Austin Seferian-Jenkins","TB","  at  CLE",13,31,20.788461538462,3.1153252605932,NA,23,"6"
"24","Coby Fleener","IND","  at  NYG",13,31,21.156862745098,3.4548774787141,NA,24,"6"
"25","Jim Dray","CLE","  vs.  TB",13,41,27.5,6.576473218983,NA,25,"8"
"26","Mychal Rivera","OAK","  at  SEA",14,38,23.375,4.4871343862202,NA,26,"7"
"27","John Carlson","ARI","  at  DAL",16,35,24.5625,3.2876425824594,NA,27,"7"
"28","Anthony Fasano","KC","  vs.  NYJ",17,34,28.230769230769,4.5599231800858,NA,28,"8"
"29","Lance Kendricks","STL","  at  SF",17,33,27.6,3.1910589375405,NA,29,"8"
"30","Ladarius Green","SD","  at  MIA",18,39,27.785714285714,4.7083295707649,NA,30,"8"
