"","Player.Name","Team","Matchup","Best.Rank","Worst.Rank","Avg.Rank","Std.Dev","NA","Rank","Tier"
"1","Antonio Brown","PIT","  vs.  BAL",1,7,1.7358490566038,1.230906145683,NA,1,"1"
"2","Demaryius Thomas","DEN","  at  NE",1,8,2.811320754717,1.4282408202095,NA,2,"1"
"3","Dez Bryant","DAL","  vs.  ARI",1,7,2.8490566037736,1.5344623102904,NA,3,"1"
"4","Ty Hilton","IND","  at  NYG",1,14,4.7169811320755,2.2518533958997,NA,4,"1"
"5","Jeremy Maclin","PHI","  at  HOU",2,15,5.0754716981132,2.1878658215194,NA,5,"1"
"6","Emmanuel Sanders","DEN","  at  NE",1,16,6.9811320754717,2.6025427771863,NA,6,"1"
"7","Kelvin Benjamin","CAR","  vs.  NO",1,23,7.6792452830189,3.39129621184,NA,7,"2"
"8","Mike Wallace","MIA","  vs.  SD",6,23,10.283018867925,3.3723479223055,NA,8,"2"
"9","Andre Johnson","HOU","  vs.  PHI",2,34,10.849056603774,5.6714985088968,NA,9,"2"
"10","Steve Smith","BAL","  at  PIT",1,48,13.735849056604,7.166881228488,NA,10,"3"
"11","Keenan Allen","SD","  at  MIA",8,57,14.924528301887,8.004359794568,NA,11,"3"
"12","DeAndre Hopkins","HOU","  vs.  PHI",9,30,15.660377358491,4.887193106618,NA,12,"3"
"13","Rueben Randle","NYG","  vs.  IND",5,34,15.88679245283,5.9863378333533,NA,13,"3"
"14","A.J. Green","CIN","  vs.  JAC",2,36,14.673469387755,7.4048736160363,NA,14,"3"
"15","DeSean Jackson","WAS","  at  MIN",8,43,17.452830188679,6.9351879291533,NA,15,"3"
"16","Brandin Cooks","NO","  at  CAR",7,33,17.849056603774,4.7360369804104,NA,16,"3"
"17","Mohamed Sanu","CIN","  vs.  JAC",6,44,19.377358490566,8.71179295086,NA,17,"3"
"18","Pierre Garcon","WAS","  at  MIN",10,49,20.943396226415,8.7704802784513,NA,18,"4"
"19","Julian Edelman","NE","  vs.  DEN",6,47,21.811320754717,10.432273226421,NA,19,"4"
"20","Larry Fitzgerald","ARI","  at  DAL",9,35,22.566037735849,5.2359765410283,NA,20,"4"
"21","Vincent Jackson","TB","  at  CLE",8,67,23.11320754717,10.215896560842,NA,21,"4"
"22","Doug Baldwin","SEA","  vs.  OAK",6,39,23.396226415094,7.0237860634929,NA,22,"4"
"23","Brandon LaFell","NE","  vs.  DEN",8,55,23.716981132075,8.2858765002263,NA,23,"4"
"24","Allen Robinson","JAC","  at  CIN",7,44,24.018867924528,7.6070735851394,NA,24,"4"
"25","Michael Floyd","ARI","  at  DAL",10,50,24.415094339623,7.7275150690273,NA,25,"4"
"26","Marques Colston","NO","  at  CAR",15,54,24.867924528302,7.9906495729745,NA,26,"4"
"27","Odell Beckham Jr.","NYG","  vs.  IND",7,45,26.433962264151,6.508367426983,NA,27,"5"
