"","Player.Name","Team","Matchup","Best.Rank","Worst.Rank","Avg.Rank","Std.Dev","NA","Rank","Tier"
"1","Peyton Manning","DEN","  at  NE",1,7,1.6478873239437,1.1879511483921,NA,1,"1"
"2","Andrew Luck","IND","  at  NYG",1,4,1.8028169014085,0.59622564756385,NA,2,"1"
"3","Tom Brady","NE","  vs.  DEN",1,8,3.7042253521127,1.5048687762471,NA,3,"1"
"4","Drew Brees","NO","  at  CAR",1,10,4.5352112676056,1.6936583116121,NA,4,"1"
"5","Russell Wilson","SEA","  vs.  OAK",1,11,5.6056338028169,2.0519923210426,NA,5,"2"
"6","Philip Rivers","SD","  at  MIA",3,16,6.9859154929577,2.5536108527387,NA,6,"2"
"7","Cam Newton","CAR","  vs.  NO",1,15,7.2535211267606,2.4593501366467,NA,7,"2"
"8","Colin Kaepernick","SF","  vs.  STL",1,13,7.2816901408451,2.097504208336,NA,8,"2"
"9","Nick Foles","PHI","  at  HOU",4,14,9.2816901408451,1.9002082805896,NA,9,"3"
"10","Ben Roethlisberger","PIT","  vs.  BAL",3,19,10.732394366197,2.6799082729671,NA,10,"4"
"11","Tony Romo","DAL","  vs.  ARI",3,27,10.797101449275,3.5409804183363,NA,11,"4"
"12","Carson Palmer","ARI","  at  DAL",5,23,12.028169014085,2.8874269991914,NA,12,"4"
"13","Ryan Tannehill","MIA","  vs.  SD",7,27,13.957746478873,3.0921828732535,NA,13,"5"
"14","Eli Manning","NYG","  vs.  IND",9,19,13.971830985915,2.1227926795066,NA,14,"5"
"15","Andy Dalton","CIN","  vs.  JAC",9,24,14.211267605634,2.8871521762717,NA,15,"5"
"16","Alex Smith","KC","  vs.  NYJ",8,22,14.943661971831,2.5502682761041,NA,16,"5"
"17","Joe Flacco","BAL","  at  PIT",6,22,16.676056338028,2.0608670941923,NA,17,"5"
"18","Teddy Bridgewater","MIN","  vs.  WAS",15,26,19.457142857143,2.4766666208879,NA,18,"6"
"19","Brian Hoyer","CLE","  vs.  TB",12,26,19.357142857143,2.4203642835958,NA,19,"6"
"20","Michael Vick","NYJ","  at  KC",12,26,20.5,2.7451255500822,NA,20,"6"
"21","Ryan Fitzpatrick","HOU","  vs.  PHI",13,25,20.342857142857,2.0205071095128,NA,21,"6"
"22","Robert Griffin III","WAS","  at  MIN",12,28,21.170212765957,3.6455694411814,NA,22,"6"
"23","Mike Glennon","TB","  at  CLE",16,25,22.014492753623,2.0322954368647,NA,23,"6"
"24","Colt McCoy","WAS","  at  MIN",14,29,24.4,3.090160337117,NA,24,"7"
"25","Blake Bortles","JAC","  at  CIN",17,27,23.671641791045,2.1606249766206,NA,25,"7"
"26","Austin Davis","STL","  at  SF",16,27,23.358208955224,2.0126576514672,NA,26,"7"
