"","Player.Name","Team","Matchup","Best.Rank","Worst.Rank","Avg.Rank","Std.Dev","NA","Rank","Tier"
"1","Detroit Lions","DET","  ",1,2,1.1111111111111,0.31426968052735,NA,1,"1"
"2","Baltimore Ravens","BAL","  at  PIT",3,15,7.2222222222222,4.1840378630584,NA,2,"2"
"3","Denver Broncos","DEN","  at  NE",2,13,7.3333333333333,3.6514837167011,NA,3,"2"
"4","Seattle Seahawks","SEA","  vs.  OAK",1,24,7.4444444444444,7.4552160876517,NA,4,"2"
"5","Arizona Cardinals","ARI","  at  DAL",3,18,8.3333333333333,4.2426406871193,NA,5,"2"
"6","Buffalo Bills","BUF","  ",2,18,8.5555555555556,5.3147825524895,NA,6,"2"
"7","Houston Texans","HOU","  vs.  PHI",3,20,8.6666666666667,5.3124591501697,NA,7,"2"
"8","New England Patriots","NE","  vs.  DEN",4,19,9.8888888888889,4.9541104021351,NA,8,"2"
"9","San Francisco 49ers","SF","  vs.  STL",3,25,10.555555555556,6.8005083324886,NA,9,"3"
"10","Miami Dolphins","MIA","  vs.  SD",3,25,11.111111111111,6.8709443705512,NA,10,"3"
"11","Cincinnati Bengals","CIN","  vs.  JAC",2,22,11.888888888889,6.0999898805826,NA,11,"3"
"12","Kansas City Chiefs","KC","  vs.  NYJ",2,23,12.555555555556,6.3265070424386,NA,12,"3"
"13","Indianapolis Colts","IND","  at  NYG",5,23,12.75,5.4025456962436,NA,13,"3"
"14","Green Bay Packers","GB","  ",6,27,15.222222222222,7.1767801164245,NA,14,"4"
"15","Philadelphia Eagles","PHI","  at  HOU",5,25,15.777777777778,6.2676910116313,NA,15,"4"
"16","San Diego Chargers","SD","  at  MIA",4,28,16.625,7.2273352627369,NA,16,"4"
"17","St. Louis Rams","STL","  at  SF",8,31,18.555555555556,8.5778929180528,NA,17,"4"
"18","Carolina Panthers","CAR","  vs.  NO",5,23,17.375,6.1631465178105,NA,18,"4"
"19","Chicago Bears","CHI","  ",12,30,19.444444444444,5.5399781610302,NA,19,"4"
"20","Minnesota Vikings","MIN","  vs.  WAS",7,24,16.571428571429,4.8655389616933,NA,20,"4"
"21","New York Giants","NYG","  vs.  IND",4,22,14.166666666667,6.1756691045496,NA,21,"4"
"22","Dallas Cowboys","DAL","  vs.  ARI",7,27,14.166666666667,6.5933468149508,NA,22,"4"
"23","New York Jets","NYJ","  at  KC",11,28,18.875,5.4643732485986,NA,23,"5"
"24","Cleveland Browns","CLE","  vs.  TB",15,22,18.714285714286,2.7105237087158,NA,24,"5"
"25","Tennessee Titans","TEN","  ",8,28,21.571428571429,6.8003601345211,NA,25,"5"
