"","Player.Name","Team","Matchup","Best.Rank","Worst.Rank","Avg.Rank","Std.Dev","NA","Rank","Tier"
"1","Stephen Gostkowski","NE","  vs.  DEN",1,8,2.125,2.2603926650031,NA,1,"1"
"2","Dan Bailey","DAL","  vs.  ARI",3,9,4.5,1.802775637732,NA,2,"1"
"3","Justin Tucker","BAL","  at  PIT",1,12,4.875,3.1795243354942,NA,3,"1"
"4","Cody Parkey","PHI","  at  HOU",1,12,5.25,3.23071199583,NA,4,"1"
"5","Adam Vinatieri","IND","  at  NYG",2,12,6.125,3.5509681778354,NA,5,"1"
"6","Steven Hauschka","SEA","  vs.  OAK",3,16,7.625,3.9666579131556,NA,6,"2"
"7","Phil Dawson","SF","  vs.  STL",1,17,8.5,4.5552167895721,NA,7,"2"
"8","Brandon McManus","DEN","  at  NE",2,13,8.2857142857143,3.1943828249997,NA,8,"2"
"9","Mason Crosby","GB","  ",3,14,9.375,3.4977671449083,NA,9,"2"
"10","Nick Novak","SD","  at  MIA",2,18,10,5.6789083458003,NA,10,"2"
"11","Blair Walsh","MIN","  vs.  WAS",9,16,11.875,2.3684119151871,NA,11,"3"
"12","Dan Carpenter","BUF","  ",5,20,12.428571428571,6.0676458804558,NA,12,"3"
"13","Chandler Catanzaro","ARI","  at  DAL",3,30,14.875,7.7368840627219,NA,13,"4"
"14","Matt Bryant","ATL","  ",6,30,16.375,8.1843982674354,NA,14,"4"
"15","Shayne Graham","NO","  at  CAR",7,22,14.25,4.6569840025493,NA,15,"4"
"16","Shaun Suisham","PIT","  vs.  BAL",8,20,13.75,4.264680527308,NA,16,"4"
"17","Matt Prater","DET","  ",9,23,14,4.618802153517,NA,17,"4"
"18","Randy Bullock","HOU","  vs.  PHI",11,29,19.4,7.7097341069586,NA,18,"5"
"19","Mike Nugent","CIN","  vs.  JAC",12,31,20.285714285714,5.6242913385799,NA,19,"5"
"20","Graham Gano","CAR","  vs.  NO",12,25,19.6,4.8414873747641,NA,20,"5"
