"","Player.Name","Team","Matchup","Best.Rank","Worst.Rank","Avg.Rank","Std.Dev","NA","Rank","Tier"
"1","Matt Forte","CHI","  ",1,3,1.9090909090909,0.79252708064376,NA,1,"1"
"2","DeMarco Murray","DAL","  vs.  ARI",1,5,2.1818181818182,1.2662171161076,NA,2,"1"
"3","Le'Veon Bell","PIT","  vs.  BAL",1,8,4.3636363636364,1.9198829165403,NA,3,"1"
"4","Arian Foster","HOU","  vs.  PHI",1,8,4.6363636363636,2.2268088570756,NA,4,"1"
"5","Jamaal Charles","KC","  vs.  NYJ",2,12,4.9090909090909,2.712078889123,NA,5,"1"
"6","Andre Ellington","ARI","  at  DAL",3,10,6.3636363636364,2.1436047495548,NA,6,"2"
"7","Giovani Bernard","CIN","  vs.  JAC",2,14,7.0909090909091,2.9681504940572,NA,7,"2"
"8","LeSean McCoy","PHI","  at  HOU",5,14,8.2727272727273,2.3775812419313,NA,8,"2"
"9","Marshawn Lynch","SEA","  vs.  OAK",6,17,10.090909090909,3.2038200339466,NA,9,"3"
"10","Eddie Lacy","GB","  ",8,18,11.545454545455,2.7753340949952,NA,10,"3"
"11","Ahmad Bradshaw","IND","  at  NYG",10,16,13.545454545455,2.34960872424,NA,11,"4"
"12","Lamar Miller","MIA","  vs.  SD",6,24,13.636363636364,4.9225404984294,NA,12,"4"
"13","Shane Vereen","NE","  vs.  DEN",10,21,14.272727272727,4.0919190672461,NA,13,"4"
"14","Jerick McKinnon","MIN","  vs.  WAS",5,37,14.454545454545,8.6377989237961,NA,14,"4"
"15","Justin Forsett","BAL","  at  PIT",4,39,16.545454545455,8.1169142856544,NA,15,"4"
"16","Rashad Jennings","NYG","  vs.  IND",12,27,17.363636363636,4.69569875278,NA,16,"4"
"17","Ronnie Hillman","DEN","  at  NE",10,50,21,11.755076272905,NA,17,"5"
"18","Alfred Morris","WAS","  at  MIN",17,25,20.181818181818,2.2489667048824,NA,18,"5"
"19","Joique Bell","DET","  ",11,27,20.545454545455,4.8685192141803,NA,19,"5"
"20","Reggie Bush","DET","  ",11,41,22.636363636364,6.7859845841896,NA,20,"5"
"21","Ben Tate","CLE","  vs.  TB",16,38,23,6.1200118835298,NA,21,"5"
"22","Christopher Ivory","NYJ","  at  KC",16,34,24.818181818182,5.474206988118,NA,22,"6"
"23","Darren Sproles","PHI","  at  HOU",8,43,25.909090909091,9.7928967341784,NA,23,"6"
"24","Frank Gore","SF","  vs.  STL",18,34,25.727272727273,4.7690461994924,NA,24,"6"
"25","Mark Ingram","NO","  at  CAR",16,61,28.7,12.977287852244,NA,25,"6"
"26","Branden Oliver","SD","  at  MIA",9,35,23.5,8.7321245982865,NA,26,"6"
"27","Pierre Thomas","NO","  at  CAR",18,44,28.818181818182,6.8995148949128,NA,27,"7"
"28","Trent Richardson","IND","  at  NYG",22,50,29.545454545455,7.3653196729197,NA,28,"7"
"29","Denard Robinson","JAC","  at  CIN",19,60,34.1,15.883639381452,NA,29,"7"
"30","Doug Martin","TB","  at  CLE",20,46,31,7.5558526382473,NA,30,"7"
"31","Ryan Mathews","SD","  at  MIA",20,45,30.5,7.0746024623296,NA,31,"7"
"32","Tre Mason","STL","  at  SF",16,53,32.6,10.565983153498,NA,32,"7"
"33","Fred Jackson","BUF","  ",14,43,28.5,8.746427842268,NA,33,"7"
"34","Bishop Sankey","TEN","  ",15,40,32.909090909091,6.8284770757142,NA,34,"8"
"35","Steven Jackson","ATL","  ",24,43,33.818181818182,5.2365530268781,NA,35,"8"
"36","Montee Ball","DEN","  at  NE",18,58,37.909090909091,11.421308199665,NA,36,"9"
"37","Darren McFadden","OAK","  at  SEA",27,53,37.363636363636,7.654739794553,NA,37,"9"
"38","Zac Stacy","STL","  at  SF",15,56,41.181818181818,11.11770236088,NA,38,"9"
"39","Chris Johnson","NYJ","  at  KC",22,64,42,11.176273569893,NA,39,"9"
"40","Jeremy Hill","CIN","  vs.  JAC",30,48,38.363636363636,5.1038795809521,NA,40,"9"
