"","Player.Name","Team","Matchup","Best.Rank","Worst.Rank","Avg.Rank","Std.Dev","NA","Rank","Tier"
"1","Rob Gronkowski","NE","  vs.  DEN",1,3,1.9090909090909,0.51425947722658,NA,1,"1"
"2","Jimmy Graham","NO","  at  CAR",1,4,2.2727272727273,1.2128785512842,NA,2,"1"
"3","Julius Thomas","DEN","  at  NE",1,4,2.2727272727273,1.135454181527,NA,3,"1"
"4","Greg Olsen","CAR","  vs.  NO",3,10,5.2727272727273,2.1780270092202,NA,4,"2"
"5","Antonio Gates","SD","  at  MIA",3,9,5.5454545454545,1.7248787237282,NA,5,"2"
"6","Martellus Bennett","CHI","  ",4,11,6.5454545454545,2.34960872424,NA,6,"2"
"7","Delanie Walker","TEN","  ",6,15,8.5454545454545,2.641061644788,NA,7,"2"
"8","Larry Donnell","NYG","  vs.  IND",2,31,10.272727272727,7.2122485346541,NA,8,"3"
"9","Travis Kelce","KC","  vs.  NYJ",7,19,10.545454545455,3.2575405213034,NA,9,"3"
"10","Dwayne Allen","IND","  at  NYG",6,19,12,3.837612894401,NA,10,"3"
"11","Jordan Reed","WAS","  at  MIN",8,17,12.272727272727,3.1934851036819,NA,11,"3"
"12","Vernon Davis","SF","  vs.  STL",5,18,12.636363636364,3.6747968966196,NA,12,"3"
"13","Zach Ertz","PHI","  at  HOU",10,16,12.545454545455,2.1046976186891,NA,13,"3"
"14","Owen Daniels","BAL","  at  PIT",7,29,15.6,7.7356318423255,NA,14,"4"
"15","Jason Witten","DAL","  vs.  ARI",6,25,14.090909090909,4.9074071186421,NA,15,"4"
"16","Jordan Cameron","CLE","  vs.  TB",8,18,14.181818181818,3.0096264285903,NA,16,"4"
"17","Heath Miller","PIT","  vs.  BAL",6,21,15.090909090909,4.0329223659671,NA,17,"4"
"18","Jared Cook","STL","  at  SF",11,23,18.909090909091,3.8719162616449,NA,18,"5"
"19","Charles Clay","MIA","  vs.  SD",11,25,18.454545454545,3.4997048281673,NA,19,"5"
"20","Levine Toilolo","ATL","  ",13,40,27.25,8.1201908844559,NA,20,"6"
"21","Niles Paul","WAS","  at  MIN",14,46,26.222222222222,10.506905430639,NA,21,"6"
