"","Player.Name","Team","Matchup","Best.Rank","Worst.Rank","Avg.Rank","Std.Dev","NA","Rank","Tier"
"1","Demaryius Thomas","DEN","  at  NE",1,6,2.1818181818182,1.8497263590342,NA,1,"1"
"2","Antonio Brown","PIT","  vs.  BAL",1,6,2.2727272727273,1.2856486930664,NA,2,"1"
"3","Jordy Nelson","GB","  ",1,7,3.5454545454545,2.1046976186891,NA,3,"1"
"4","Dez Bryant","DAL","  vs.  ARI",3,8,4.8181818181818,1.5266232385224,NA,4,"1"
"5","Julio Jones","ATL","  ",3,14,6.9090909090909,2.9681504940572,NA,5,"2"
"6","Randall Cobb","GB","  ",5,17,8.0909090909091,3.2320706972057,NA,6,"2"
"7","A.J. Green","CIN","  vs.  JAC",3,13,8.1818181818182,3.0396824540546,NA,7,"2"
"8","Calvin Johnson","DET","  ",8,16,10,2.0889318714684,NA,8,"2"
"9","Brandon Marshall","CHI","  ",3,16,10.272727272727,4.3294112362875,NA,9,"2"
"10","Jeremy Maclin","PHI","  at  HOU",3,28,10.636363636364,6.4423700787369,NA,10,"2"
"11","Emmanuel Sanders","DEN","  at  NE",4,26,11.272727272727,5.2064803866459,NA,11,"2"
"12","Ty Hilton","IND","  at  NYG",3,37,14.454545454545,9.5190109910607,NA,12,"2"
"13","Alshon Jeffery","CHI","  ",7,33,15.727272727273,6.2970542765632,NA,13,"3"
"14","Steve Smith","BAL","  at  PIT",4,35,17.909090909091,8.317064008351,NA,14,"3"
"15","Kelvin Benjamin","CAR","  vs.  NO",10,39,18.090909090909,8.4364420059056,NA,15,"3"
"16","Julian Edelman","NE","  vs.  DEN",3,46,19.909090909091,10.067540509023,NA,16,"3"
"17","Pierre Garcon","WAS","  at  MIN",10,41,20.454545454545,8.9174357949483,NA,17,"4"
"18","Mike Wallace","MIA","  vs.  SD",13,30,20.909090909091,4.2949133858246,NA,18,"4"
"19","Roddy White","ATL","  ",10,33,21,7.211102550928,NA,19,"4"
"20","Vincent Jackson","TB","  at  CLE",7,36,21.272727272727,8.0010329911593,NA,20,"4"
"21","Andre Johnson","HOU","  vs.  PHI",14,35,21.818181818182,6.0274852560912,NA,21,"4"
"22","Keenan Allen","SD","  at  MIA",12,36,23.909090909091,7.366441665412,NA,22,"4"
"23","Sammy Watkins","BUF","  ",10,48,24.545454545455,11.664738132615,NA,23,"5"
"24","Michael Floyd","ARI","  at  DAL",14,43,26.545454545455,9.1984547750116,NA,24,"5"
"25","Brandin Cooks","NO","  at  CAR",18,37,27.363636363636,5.9125863787306,NA,25,"5"
"26","Golden Tate","DET","  ",15,47,27.454545454545,9.9486283784032,NA,26,"5"
"27","Percy Harvin","NYJ","  at  KC",15,49,30.545454545455,8.988514250406,NA,27,"6"
"28","Michael Crabtree","SF","  vs.  STL",18,42,30.727272727273,7.5207701381623,NA,28,"6"
"29","Kendall Wright","TEN","  ",21,50,30.818181818182,9.2914249990191,NA,29,"6"
"30","Reggie Wayne","IND","  at  NYG",22,56,31.363636363636,9.1281057207718,NA,30,"6"
"31","DeSean Jackson","WAS","  at  MIN",10,43,31.818181818182,9.0936359546681,NA,31,"6"
"32","Rueben Randle","NYG","  vs.  IND",11,57,32.636363636364,13.234065734602,NA,32,"6"
"33","Larry Fitzgerald","ARI","  at  DAL",19,51,32.363636363636,7.795951481643,NA,33,"6"
"34","DeAndre Hopkins","HOU","  vs.  PHI",18,59,33.909090909091,13.587792284752,NA,34,"6"
"35","Eric Decker","NYJ","  at  KC",24,46,35.545454545455,6.0357064264356,NA,35,"6"
"36","Terrance Williams","DAL","  vs.  ARI",22,59,36.545454545455,9.1984547750116,NA,36,"6"
"37","Brandon LaFell","NE","  vs.  DEN",17,83,41.6,21.378493866501,NA,37,"7"
"38","Odell Beckham Jr.","NYG","  vs.  IND",17,64,40,11.847516041924,NA,38,"7"
"39","Marques Colston","NO","  at  CAR",30,54,39.545454545455,8.8663166110812,NA,39,"7"
"40","Josh Gordon","CLE","  vs.  TB",19,53,34,12.609520212918,NA,40,"7"
"41","Torrey Smith","BAL","  at  PIT",26,54,41.818181818182,7.6967310867334,NA,41,"7"
"42","Doug Baldwin","SEA","  vs.  OAK",26,56,42.636363636364,9.556270928013,NA,42,"7"
"43","James Jones","OAK","  at  SEA",16,65,44.818181818182,13.278952462917,NA,43,"8"
"44","Andrew Hawkins","CLE","  vs.  TB",21,62,45,11.520732299957,NA,44,"8"
"45","Cordarrelle Patterson","MIN","  vs.  WAS",23,63,44.636363636364,9.9660580998501,NA,45,"8"
"46","Wes Welker","DEN","  at  NE",29,77,47,13.30755082992,NA,46,"9"
"47","Anquan Boldin","SF","  vs.  STL",34,57,44.272727272727,6.5100050145339,NA,47,"9"
"48","Malcom Floyd","SD","  at  MIA",27,67,48.090909090909,11.94270066499,NA,48,"9"
"49","Mohamed Sanu","CIN","  vs.  JAC",32,75,48.272727272727,12.548747920815,NA,49,"9"
"50","Andre Holmes","OAK","  at  SEA",34,68,49.363636363636,11.803487368129,NA,50,"9"
"51","Cecil Shorts","JAC","  at  CIN",23,77,50.909090909091,13.020644764475,NA,51,"9"
"52","Harry Douglas","ATL","  ",24,76,58.111111111111,17.14930801613,NA,52,"9"
"53","Justin Hunter","TEN","  ",32,60,49.1,8.642337646725,NA,53,"9"
"54","Eddie Royal","SD","  at  MIA",29,74,55.3,12.570202862325,NA,54,"9"
"55","Allen Robinson","JAC","  at  CIN",38,86,53.363636363636,12.506527221435,NA,55,"9"
"56","Greg Jennings","MIN","  vs.  WAS",38,61,52.090909090909,6.841777353537,NA,56,"9"
"57","Markus Wheaton","PIT","  vs.  BAL",42,80,56.8,12.623787070448,NA,57,"10"
"58","Martavis Bryant","PIT","  vs.  BAL",37,67,55,10.902162301908,NA,58,"10"
"59","Davante Adams","GB","  ",41,82,62.909090909091,14.15148270712,NA,59,"10"
"60","Donte Moncrief","IND","  at  NYG",39,84,58.857142857143,16.745392299534,NA,60,"10"
