"","Player.Name","Team","Matchup","Best.Rank","Worst.Rank","Avg.Rank","Std.Dev","NA","Rank","Tier"
"1","DeMarco Murray","DAL","  vs.  ARI",1,3,1.5,0.67082039324994,NA,1,"1"
"2","Matt Forte","CHI","  ",1,3,1.9,0.83066238629181,NA,2,"1"
"3","Jamaal Charles","KC","  vs.  NYJ",2,7,3.6,1.4282856857086,NA,3,"1"
"4","Le'Veon Bell","PIT","  vs.  BAL",2,9,5.1,1.7,NA,4,"2"
"5","Arian Foster","HOU","  vs.  PHI",2,10,5.9,2.7,NA,5,"2"
"6","LeSean McCoy","PHI","  at  HOU",3,9,5.9,1.6401219466857,NA,6,"2"
"7","Marshawn Lynch","SEA","  vs.  OAK",4,11,6.7,2.1,NA,7,"2"
"8","Giovani Bernard","CIN","  vs.  JAC",5,10,7.5,1.5,NA,8,"2"
"9","Andre Ellington","ARI","  at  DAL",5,12,8.9,1.9209372712299,NA,9,"3"
"10","Eddie Lacy","GB","  ",7,13,9.6,1.8547236990991,NA,10,"3"
"11","Lamar Miller","MIA","  vs.  SD",6,18,11.6,3.0066592756746,NA,11,"3"
"12","Alfred Morris","WAS","  at  MIN",10,19,13.1,2.8792360097776,NA,12,"3"
"13","Ahmad Bradshaw","IND","  at  NYG",13,23,16.1,3.6455452267116,NA,13,"4"
"14","Justin Forsett","BAL","  at  PIT",14,20,16.7,1.8466185312619,NA,14,"4"
"15","Ben Tate","CLE","  vs.  TB",11,30,17.4,5.5353410012392,NA,15,"4"
"16","Rashad Jennings","NYG","  vs.  IND",11,27,18.1,4.3920382511996,NA,16,"4"
"17","Shane Vereen","NE","  vs.  DEN",14,26,18.3,4.1964270516715,NA,17,"4"
"18","Ronnie Hillman","DEN","  at  NE",11,48,19.2,10.457533169921,NA,18,"5"
"19","Christopher Ivory","NYJ","  at  KC",14,31,19.2,4.4226688774992,NA,19,"5"
"20","Joique Bell","DET","  ",14,24,19.5,2.9748949561287,NA,20,"5"
"21","Jerick McKinnon","MIN","  vs.  WAS",13,24,20,3.8470768123343,NA,21,"5"
"22","Frank Gore","SF","  vs.  STL",13,26,20.8,4.0447496832313,NA,22,"5"
"23","Mark Ingram","NO","  at  CAR",16,58,25.3,12.498399897587,NA,23,"6"
"24","Reggie Bush","DET","  ",21,39,25.9,4.7423622805518,NA,24,"6"
"25","Branden Oliver","SD","  at  MIA",8,29,22.5,6.8007352543677,NA,25,"5"
"26","Trent Richardson","IND","  at  NYG",24,50,29.7,7.0859014952227,NA,26,"7"
"27","Ryan Mathews","SD","  at  MIA",23,43,29.3,6.000833275471,NA,27,"7"
"28","Doug Martin","TB","  at  CLE",22,43,30.6,6.0695963621974,NA,28,"7"
"29","Fred Jackson","BUF","  ",15,53,29.875,10.982229964811,NA,29,"7"
"30","Denard Robinson","JAC","  at  CIN",20,62,36.3,12.868954891521,NA,30,"9"
"31","Bishop Sankey","TEN","  ",23,41,33.1,4.8466483264211,NA,31,"8"
"32","Tre Mason","STL","  at  SF",24,53,33.555555555556,8.6295501506434,NA,32,"8"
"33","Darren Sproles","PHI","  at  HOU",24,45,33.8,5.8957611891935,NA,33,"8"
"34","Jeremy Hill","CIN","  vs.  JAC",27,43,33.9,4.592385001282,NA,34,"8"
"35","Steven Jackson","ATL","  ",21,48,35.1,7.6347887986506,NA,35,"8"
"36","Montee Ball","DEN","  at  NE",20,58,37.1,9.9543960138222,NA,36,"9"
"37","Darren McFadden","OAK","  at  SEA",26,54,36.8,8.3880867902043,NA,37,"9"
"38","Pierre Thomas","NO","  at  CAR",29,46,35.2,4.5563142999578,NA,38,"8"
"39","Andre Williams","NYG","  vs.  IND",23,69,41.3,11.857908753233,NA,39,"10"
"40","Zac Stacy","STL","  at  SF",29,54,44.7,9.6855562566122,NA,40,"10"
"41","Jonas Gray","NE","  vs.  DEN",28,53,40.8,9.806120537705,NA,41,"10"
"42","Jonathan Stewart","CAR","  vs.  NO",33,62,46.3,10.34456378974,NA,42,"10"
"43","Charles Sims","TB","  at  CLE",32,59,42.6,10.518555033844,NA,43,"10"
"44","Chris Johnson","NYJ","  at  KC",30,60,44.8,8.3522452071284,NA,44,"11"
"45","Lorenzo Taliaferro","BAL","  at  PIT",33,61,47.5,8.523496934944,NA,45,"12"
"46","Anthony Dixon","BUF","  ",29,63,49,11.888369666751,NA,46,"12"
"47","Isaiah Crowell","CLE","  vs.  TB",34,70,46.1,9.8635693336642,NA,47,"11"
"48","Carlos Hyde","SF","  vs.  STL",32,59,46.2,7.7304592360351,NA,48,"11"
"49","Knile Davis","KC","  vs.  NYJ",34,52,44.2,5.0950956811428,NA,49,"11"
"50","James Starks","GB","  ",32,66,48.9,9.0824005637276,NA,50,"12"
