"","Player.Name","Team","Matchup","Best.Rank","Worst.Rank","Avg.Rank","Std.Dev","NA","Rank","Tier"
"1","Rob Gronkowski","NE","  vs.  DEN",1,3,1.8461538461538,0.66171732823405,NA,1,"1"
"2","Jimmy Graham","NO","  at  CAR",1,4,2,0.96076892283052,NA,2,"1"
"3","Julius Thomas","DEN","  at  NE",1,4,2.3076923076923,0.99108451744039,NA,3,"1"
"4","Greg Olsen","CAR","  vs.  NO",3,10,4.8461538461538,1.7027648939368,NA,4,"1"
"5","Antonio Gates","SD","  at  MIA",3,10,5.6923076923077,2.0525637021733,NA,5,"1"
"6","Martellus Bennett","CHI","  ",5,11,6,1.6641005886757,NA,6,"1"
"7","Delanie Walker","TEN","  ",6,14,8.8461538461538,2.3808903908526,NA,7,"2"
"8","Vernon Davis","SF","  vs.  STL",5,15,9.7692307692308,3.1660177888087,NA,8,"2"
"9","Travis Kelce","KC","  vs.  NYJ",7,18,10.166666666667,2.8528737947706,NA,9,"2"
"10","Zach Ertz","PHI","  at  HOU",7,15,10.923076923077,2.4006902360503,NA,10,"2"
"11","Dwayne Allen","IND","  at  NYG",6,18,11.166666666667,3.3870669054836,NA,11,"2"
"12","Larry Donnell","NYG","  vs.  IND",6,27,12,5.2915026221292,NA,12,"2"
"13","Jordan Reed","WAS","  at  MIN",7,16,11.166666666667,2.9391986814247,NA,13,"2"
"14","Jordan Cameron","CLE","  vs.  TB",6,17,12.846153846154,3.3706003538779,NA,14,"2"
"15","Jason Witten","DAL","  vs.  ARI",8,18,13.461538461538,2.5903781908435,NA,15,"2"
"16","Heath Miller","PIT","  vs.  BAL",10,20,15.916666666667,2.6286350492646,NA,16,"3"
"17","Owen Daniels","BAL","  at  PIT",11,30,18.090909090909,5.5342659109907,NA,17,"3"
"18","Jared Cook","STL","  at  SF",12,24,19.5,3.6400549446403,NA,18,"3"
"19","Kyle Rudolph","MIN","  vs.  WAS",11,28,19.777777777778,4.6851485871796,NA,19,"3"
"20","Marcedes Lewis","JAC","  at  CIN",13,45,27.5,10.095378480605,NA,20,"4"
"21","Levine Toilolo","ATL","  ",14,37,28,6.4961527075647,NA,21,"4"
"22","David Ausberry","OAK","  at  SEA",15,86,41,31.947874212014,NA,22,"5"
"23","Charles Clay","MIA","  vs.  SD",15,23,18.583333333333,2.2157893000514,NA,23,"3"
"24","Jermaine Gresham","CIN","  vs.  JAC",16,40,25.9,6.6850579653433,NA,24,"4"
"25","Austin Seferian-Jenkins","TB","  at  CLE",16,28,22.461538461538,3.0537589601968,NA,25,"4"
"26","Garrett Graham","HOU","  vs.  PHI",17,46,29.090909090909,9.3269360208586,NA,26,"4"
"27","Jace Amaro","NYJ","  at  KC",17,29,23.909090909091,4.0329223659671,NA,27,"4"
"28","Ladarius Green","SD","  at  MIA",18,42,28.5,8.0901174280724,NA,28,"4"
"29","Scott Chandler","BUF","  ",18,31,25.25,3.7996710383927,NA,29,"4"
"30","Coby Fleener","IND","  at  NYG",19,35,25.166666666667,5.225471802197,NA,30,"4"
