"","Player.Name","Team","Matchup","Best.Rank","Worst.Rank","Avg.Rank","Std.Dev","NA","Rank","Tier"
"1","Demaryius Thomas","DEN","  at  NE",1,6,1.9230769230769,1.7742403991801,NA,1,"1"
"2","Antonio Brown","PIT","  vs.  BAL",1,4,2.3076923076923,0.82131371169472,NA,2,"1"
"3","Jordy Nelson","GB","  ",1,6,3.1538461538462,1.7473564140924,NA,3,"1"
"4","Dez Bryant","DAL","  vs.  ARI",2,6,4.2307692307692,1.1200169060432,NA,4,"1"
"5","Julio Jones","ATL","  ",3,8,5.3846153846154,1.6426274233894,NA,5,"1"
"6","Calvin Johnson","DET","  ",4,16,7.0769230769231,3.0999141045554,NA,6,"1"
"7","A.J. Green","CIN","  vs.  JAC",4,13,7.1538461538462,2.5674337335813,NA,7,"1"
"8","Randall Cobb","GB","  ",4,11,8.0769230769231,1.8589301497838,NA,8,"2"
"9","Brandon Marshall","CHI","  ",6,15,10.076923076923,2.7585263195448,NA,9,"2"
"10","Jeremy Maclin","PHI","  at  HOU",7,26,11.307692307692,4.6967192376842,NA,10,"2"
"11","Emmanuel Sanders","DEN","  at  NE",9,24,12.076923076923,3.7305709701484,NA,11,"2"
"12","Alshon Jeffery","CHI","  ",7,23,13,3.8230072737813,NA,12,"2"
"13","Ty Hilton","IND","  at  NYG",4,38,15.307692307692,8.7035325753363,NA,13,"3"
"14","Kelvin Benjamin","CAR","  vs.  NO",10,32,16.461538461538,5.7327048873498,NA,14,"3"
"15","Vincent Jackson","TB","  at  CLE",7,24,17.692307692308,4.5806384402952,NA,15,"3"
"16","Mike Wallace","MIA","  vs.  SD",14,22,18.076923076923,2.7304983614306,NA,16,"3"
"17","Sammy Watkins","BUF","  ",11,42,20.538461538462,8.906483244636,NA,17,"4"
"18","Pierre Garcon","WAS","  at  MIN",11,41,21.307692307692,8.3425195915919,NA,18,"4"
"19","Steve Smith","BAL","  at  PIT",16,40,21.384615384615,6.3553546356107,NA,19,"4"
"20","Michael Floyd","ARI","  at  DAL",12,35,22.076923076923,6.0442157786348,NA,20,"4"
"21","Keenan Allen","SD","  at  MIA",13,36,22.384615384615,6.4395229342943,NA,21,"4"
"22","Andre Johnson","HOU","  vs.  PHI",15,29,22.461538461538,4.3076923076923,NA,22,"4"
"23","Roddy White","ATL","  ",15,41,22.923076923077,7.4674837535456,NA,23,"4"
"24","DeSean Jackson","WAS","  at  MIN",10,39,24.846153846154,8.1603747448467,NA,24,"4"
"25","Golden Tate","DET","  ",13,48,25.153846153846,9.4693526205995,NA,25,"4"
"26","Julian Edelman","NE","  vs.  DEN",10,47,25.461538461538,9.1282771532739,NA,26,"4"
"27","Percy Harvin","NYJ","  at  KC",18,47,29.846153846154,8.2167385804471,NA,27,"5"
"28","Michael Crabtree","SF","  vs.  STL",22,39,30.769230769231,5.590566864802,NA,28,"5"
"29","Rueben Randle","NYG","  vs.  IND",13,53,29.583333333333,11.535873997617,NA,29,"5"
"30","Brandin Cooks","NO","  at  CAR",20,52,31.153846153846,7.1343821234935,NA,30,"5"
"31","Larry Fitzgerald","ARI","  at  DAL",20,49,31.538461538462,6.7666078834613,NA,31,"5"
"32","Reggie Wayne","IND","  at  NYG",24,54,33.076923076923,7.5085749796384,NA,32,"5"
"33","Eric Decker","NYJ","  at  KC",24,43,33.384615384615,5.1071362069839,NA,33,"5"
"34","DeAndre Hopkins","HOU","  vs.  PHI",21,57,34.615384615385,11.351302612736,NA,34,"5"
"35","Terrance Williams","DAL","  vs.  ARI",22,54,34.384615384615,7.2168442020516,NA,35,"5"
"36","Marques Colston","NO","  at  CAR",28,48,37.076923076923,6.1576911065198,NA,36,"6"
"37","Torrey Smith","BAL","  at  PIT",25,53,37.692307692308,7.0425587066133,NA,37,"6"
"38","Kendall Wright","TEN","  ",30,50,37.692307692308,6.3292315171459,NA,38,"6"
"39","Cordarrelle Patterson","MIN","  vs.  WAS",19,62,41.384615384615,10.057821002265,NA,39,"7"
