"","Player.Name","Team","Matchup","Best.Rank","Worst.Rank","Avg.Rank","Std.Dev","NA","Rank","Tier"
"1","Rob Gronkowski","NE","  vs.  DEN",1,2,1.1111111111111,0.31426968052735,NA,1,"1"
"2","Julius Thomas","DEN","  at  NE",1,7,2.4027777777778,0.89224626368606,NA,2,"1"
"3","Jimmy Graham","NO","  at  CAR",1,8,2.8472222222222,1.0091212104024,NA,3,"1"
"4","Antonio Gates","SD","  at  MIA",2,10,4.7361111111111,1.290919736247,NA,4,"1"
"5","Greg Olsen","CAR","  vs.  NO",3,8,4.7638888888889,1.0205262198651,NA,5,"1"
"6","Dwayne Allen","IND","  at  NYG",4,14,6.9722222222222,1.7157135074091,NA,6,"2"
"7","Travis Kelce","KC","  vs.  NYJ",1,12,7.4166666666667,1.9843134832984,NA,7,"2"
"8","Jordan Reed","WAS","  at  MIN",4,14,8.1388888888889,1.8952100114906,NA,8,"2"
"9","Larry Donnell","NYG","  vs.  IND",5,21,9.056338028169,2.5994979143796,NA,9,"2"
"10","Vernon Davis","SF","  vs.  STL",5,18,10.583333333333,2.5097033910626,NA,10,"3"
"11","Jason Witten","DAL","  vs.  ARI",6,17,10.888888888889,2.1766153360177,NA,11,"3"
"12","Zach Ertz","PHI","  at  HOU",7,21,11.263888888889,1.9929950629612,NA,12,"3"
"13","Heath Miller","PIT","  vs.  BAL",9,23,13.416666666667,2.3496453633119,NA,13,"4"
"14","Jared Cook","STL","  at  SF",10,21,15.013888888889,2.4007698739476,NA,14,"4"
"15","Clay Harbor","JAC","  at  CIN",9,24,17.267605633803,3.1262529723764,NA,15,"5"
"16","Timothy Wright","NE","  vs.  DEN",10,30,16.884057971014,3.3731086246578,NA,16,"5"
"17","Jordan Cameron","CLE","  vs.  TB",10,24,15.393939393939,2.8491295208589,NA,17,"5"
"18","Charles Clay","MIA","  vs.  SD",10,23,17.231884057971,2.4562545278122,NA,18,"5"
"19","Jermaine Gresham","CIN","  vs.  JAC",8,27,19.164179104478,3.2442694135388,NA,19,"5"
"20","Jace Amaro","NYJ","  at  KC",11,26,18.7,2.7946377224964,NA,20,"5"
"21","Owen Daniels","BAL","  at  PIT",5,25,18.95652173913,4.2270172531258,NA,21,"5"
"22","Austin Seferian-Jenkins","TB","  at  CLE",12,28,20.405797101449,3.1499659100051,NA,22,"5"
"23","Coby Fleener","IND","  at  NYG",13,29,20.028571428571,3.2336243644883,NA,23,"5"
"24","Luke Willson","SEA","  vs.  OAK",13,32,23.508474576271,3.6049536603709,NA,24,"6"
"25","Gavin Escobar","DAL","  vs.  ARI",15,39,26.333333333333,4.562752836862,NA,25,"6"
