"","Player.Name","Team","Matchup","Best.Rank","Worst.Rank","Avg.Rank","Std.Dev","NA","Rank","Tier"
"1","Antonio Brown","PIT","  vs.  BAL",1,7,1.8142857142857,0.989846411504,NA,1,"1"
"2","Demaryius Thomas","DEN","  at  NE",1,8,2.5142857142857,1.3809195398394,NA,2,"1"
"3","Dez Bryant","DAL","  vs.  ARI",1,7,2.5428571428571,1.4993876301031,NA,3,"1"
"4","Jeremy Maclin","PHI","  at  HOU",2,15,4.6,1.7920459177791,NA,4,"1"
"5","Ty Hilton","IND","  at  NYG",2,10,5,1.5766148184367,NA,5,"1"
"6","Emmanuel Sanders","DEN","  at  NE",1,12,6.8714285714286,1.7231319373366,NA,6,"2"
"7","Kelvin Benjamin","CAR","  vs.  NO",3,13,6.9571428571429,1.8239338512889,NA,7,"2"
"8","Mike Wallace","MIA","  vs.  SD",6,19,9.3,2.4862478901808,NA,8,"2"
"9","Steve Smith","BAL","  at  PIT",4,42,12.2,5.7385911660815,NA,9,"3"
"10","Andre Johnson","HOU","  vs.  PHI",3,35,13.271428571429,5.549572515252,NA,10,"3"
"11","DeSean Jackson","WAS","  at  MIN",4,43,13.385714285714,6.5077818409805,NA,11,"3"
"12","DeAndre Hopkins","HOU","  vs.  PHI",8,33,13.9,3.836479040549,NA,12,"3"
"13","A.J. Green","CIN","  vs.  JAC",3,36,11.21875,5.8026630470414,NA,13,"3"
"14","Keenan Allen","SD","  at  MIA",11,52,17.357142857143,5.9426682662293,NA,14,"4"
"15","Mohamed Sanu","CIN","  vs.  JAC",8,40,18.057142857143,7.2128570013864,NA,15,"4"
"16","Rueben Randle","NYG","  vs.  IND",5,33,18.357142857143,5.5344007658223,NA,16,"4"
"17","Vincent Jackson","TB","  at  CLE",6,55,20.028571428571,8.9394333929928,NA,17,"4"
"18","Terrance Williams","DAL","  vs.  ARI",7,52,20.128571428571,8.3425269014874,NA,18,"4"
"19","Larry Fitzgerald","ARI","  at  DAL",7,44,20.557142857143,5.8715676034981,NA,19,"4"
"20","Brandin Cooks","NO","  at  CAR",6,35,20.614285714286,5.3513492481346,NA,20,"4"
"21","Brandon LaFell","NE","  vs.  DEN",10,54,21.228571428571,6.4855254849801,NA,21,"4"
"22","Michael Floyd","ARI","  at  DAL",10,43,22.157142857143,6.9767690317545,NA,22,"4"
